,word,occurrences,percentile,pinyin,definition,back
832,领导,4199,0.9944130544779896,lǐngdǎo,"lead<br/>leading<br/>to lead<br/>leadership<br/>leader<br/>CL:位[wei4],個|个[ge4]","<b>lǐngdǎo</b><br/>lead<br/>leading<br/>to lead<br/>leadership<br/>leader<br/>CL:位[wei4],個|个[ge4]"
841,感,4193,0.9944025130713442,gǎn,to feel<br/>to move<br/>to touch<br/>to affect<br/>feeling<br/>emotion<br/>(suffix) sense of ~,<b>gǎn</b><br/>to feel<br/>to move<br/>to touch<br/>to affect<br/>feeling<br/>emotion<br/>(suffix) sense of ~
228,肉,4192,0.994391971664699,ròu,meat<br/>flesh<br/>pulp (of a fruit)<br/>(coll.) (of a fruit) squashy<br/>(of a person) flabby<br/>irresolute,<b>ròu</b><br/>meat<br/>flesh<br/>pulp (of a fruit)<br/>(coll.) (of a fruit) squashy<br/>(of a person) flabby<br/>irresolute
1079,歌,4190,0.9943814302580536,gē,variant of 歌[ge1],<b>gē</b><br/>variant of 歌[ge1]
2686,重,4185,0.9943708888514083,zhòng,heavy<br/>serious<br/>to attach importance to,<b>zhòng</b><br/>heavy<br/>serious<br/>to attach importance to
532,人民,4178,0.994360347444763,rénmín,the people<br/>CL:個|个[ge4],<b>rénmín</b><br/>the people<br/>CL:個|个[ge4]
2368,晓得,4174,0.9943498060381177,xiǎodé,to know,<b>xiǎodé</b><br/>to know
1018,身体,4168,0.9943392646314724,shēntǐ,"the body<br/>one's health<br/>CL:具[ju4],個|个[ge4]<br/>in person","<b>shēntǐ</b><br/>the body<br/>one's health<br/>CL:具[ju4],個|个[ge4]<br/>in person"
946,主要,4140,0.9943287232248271,zhǔyào,main<br/>principal<br/>major<br/>primary,<b>zhǔyào</b><br/>main<br/>principal<br/>major<br/>primary
1011,人生,4122,0.9943181818181818,rénshēng,life (one's time on earth),<b>rénshēng</b><br/>life (one's time on earth)
1072,苦,4103,0.9943076404115365,kǔ,bitter<br/>hardship<br/>pain<br/>to suffer<br/>to bring suffering to<br/>painstakingly,<b>kǔ</b><br/>bitter<br/>hardship<br/>pain<br/>to suffer<br/>to bring suffering to<br/>painstakingly
